FIPS,State,"County, State",2014 Food Insecurity Rate,# of Food Insecure Persons in 2014
30005,MT,"Blaine County, Montana",16.9%,1110
30007,MT,"Broadwater County, Montana",11.9%,680
30009,MT,"Carbon County, Montana",11.2%,1140
30011,MT,"Carter County, Montana",10.7%,130
30013,MT,"Cascade County, Montana",13.5%,11080
30015,MT,"Chouteau County, Montana",14.4%,840
30017,MT,"Custer County, Montana",12.1%,1440
30019,MT,"Daniels County, Montana",9.9%,180
30021,MT,"Dawson County, Montana",12%,1100
30023,MT,"Deer Lodge County, Montana",13.6%,1260
30025,MT,"Fallon County, Montana",10.2%,310
30027,MT,"Fergus County, Montana",12.1%,1390
30029,MT,"Flathead County, Montana",13.8%,12770
30031,MT,"Gallatin County, Montana",12.9%,12030
30033,MT,"Garfield County, Montana",10.3%,110
30035,MT,"Glacier County, Montana",21%,2860
30037,MT,"Golden Valley County, Montana",14.1%,100
30039,MT,"Granite County, Montana",13.5%,420
30041,MT,"Hill County, Montana",14.6%,2400
30043,MT,"Jefferson County, Montana",10.1%,1160
30045,MT,"Judith Basin County, Montana",12.3%,250
30047,MT,"Lake County, Montana",15.1%,4360
30049,MT,"Lewis and Clark County, Montana",11.5%,7430
30051,MT,"Liberty County, Montana",13.3%,300
30053,MT,"Lincoln County, Montana",16.4%,3190
30055,MT,"McCone County, Montana",9.8%,170
30057,MT,"Madison County, Montana",11.8%,910
30059,MT,"Meagher County, Montana",12.7%,260
30061,MT,"Mineral County, Montana",16.4%,700
30063,MT,"Missoula County, Montana",14.3%,15880
30065,MT,"Musselshell County, Montana",13%,620
30067,MT,"Park County, Montana",12.9%,2010
30069,MT,"Petroleum County, Montana",12.4%,60
30071,MT,"Phillips County, Montana",13.1%,550
30073,MT,"Pondera County, Montana",14.4%,900
30075,MT,"Powder River County, Montana",11.9%,200
30077,MT,"Powell County, Montana",13.6%,950
30079,MT,"Prairie County, Montana",12.6%,160
30081,MT,"Ravalli County, Montana",14.6%,5950
30083,MT,"Richland County, Montana",11.2%,1200
30085,MT,"Roosevelt County, Montana",16.9%,1830
30087,MT,"Rosebud County, Montana",14.3%,1330
30089,MT,"Sanders County, Montana",17%,1930
30091,MT,"Sheridan County, Montana",11.1%,390
30093,MT,"Silver Bow County, Montana",15%,5180
30095,MT,"Stillwater County, Montana",10%,920
30097,MT,"Sweet Grass County, Montana",11.7%,420
30099,MT,"Teton County, Montana",11.8%,720
30101,MT,"Toole County, Montana",13.5%,700
30103,MT,"Treasure County, Montana",13.6%,100
30105,MT,"Valley County, Montana",11.8%,890
30107,MT,"Wheatland County, Montana",14.1%,300
30109,MT,"Wibaux County, Montana",12.1%,120
30111,MT,"Yellowstone County, Montana",11.9%,18020
31001,NE,"Adams County, Nebraska",11.8%,3700
31003,NE,"Antelope County, Nebraska",12%,780
31005,NE,"Arthur County, Nebraska",14.8%,70
31007,NE,"Banner County, Nebraska",13.7%,110
31009,NE,"Blaine County, Nebraska",16.4%,100
31011,NE,"Boone County, Nebraska",11.4%,610
31013,NE,"Box Butte County, Nebraska",13.3%,1510
31015,NE,"Boyd County, Nebraska",12.4%,260
31017,NE,"Brown County, Nebraska",14.5%,450
31019,NE,"Buffalo County, Nebraska",12.2%,5800
31021,NE,"Burt County, Nebraska",12.2%,820
31023,NE,"Butler County, Nebraska",11.4%,950
31025,NE,"Cass County, Nebraska",10.3%,2620
31027,NE,"Cedar County, Nebraska",11%,960
31029,NE,"Chase County, Nebraska",9.8%,390
31031,NE,"Cherry County, Nebraska",12.9%,740
31033,NE,"Cheyenne County, Nebraska",11.9%,1200
31035,NE,"Clay County, Nebraska",10.7%,690
31037,NE,"Colfax County, Nebraska",6.4%,680
31039,NE,"Cuming County, Nebraska",11.5%,1050
31041,NE,"Custer County, Nebraska",12%,1300
31043,NE,"Dakota County, Nebraska",10.4%,2180
31045,NE,"Dawes County, Nebraska",14.3%,1310
31047,NE,"Dawson County, Nebraska",9.2%,2240
31049,NE,"Deuel County, Nebraska",11.1%,220
31051,NE,"Dixon County, Nebraska",10.6%,620
31053,NE,"Dodge County, Nebraska",12.1%,4440
31055,NE,"Douglas County, Nebraska",14.2%,75450
31057,NE,"Dundy County, Nebraska",11.7%,230
31059,NE,"Fillmore County, Nebraska",10.8%,620
31061,NE,"Franklin County, Nebraska",12%,380
31063,NE,"Frontier County, Nebraska",12.3%,310
31065,NE,"Furnas County, Nebraska",13.2%,650
31067,NE,"Gage County, Nebraska",13%,2850
31069,NE,"Garden County, Nebraska",11.9%,230
31071,NE,"Garfield County, Nebraska",12.3%,240
31073,NE,"Gosper County, Nebraska",11.3%,230
31075,NE,"Grant County, Nebraska",12.9%,80
31077,NE,"Greeley County, Nebraska",11.9%,300
31079,NE,"Hall County, Nebraska",11.1%,6680
31081,NE,"Hamilton County, Nebraska",10.7%,970
31083,NE,"Harlan County, Nebraska",11.6%,400
31085,NE,"Hayes County, Nebraska",11.3%,130
31087,NE,"Hitchcock County, Nebraska",13.5%,390
31089,NE,"Holt County, Nebraska",11.9%,1240
31091,NE,"Hooker County, Nebraska",13.1%,90
31093,NE,"Howard County, Nebraska",11.9%,750
31095,NE,"Jefferson County, Nebraska",12.1%,910
31097,NE,"Johnson County, Nebraska",12.5%,650
31099,NE,"Kearney County, Nebraska",10.6%,690
31101,NE,"Keith County, Nebraska",12.3%,1010
31103,NE,"Keya Paha County, Nebraska",13.1%,100
31105,NE,"Kimball County, Nebraska",12.4%,460
31107,NE,"Knox County, Nebraska",12.8%,1100
31109,NE,"Lancaster County, Nebraska",14%,41190
31111,NE,"Lincoln County, Nebraska",12.4%,4460
31113,NE,"Logan County, Nebraska",12.9%,90
31115,NE,"Loup County, Nebraska",13.2%,70
31117,NE,"McPherson County, Nebraska",12.5%,50
31119,NE,"Madison County, Nebraska",12.3%,4300
31121,NE,"Merrick County, Nebraska",12.3%,960
31123,NE,"Morrill County, Nebraska",11.4%,560
31125,NE,"Nance County, Nebraska",11.7%,430
31127,NE,"Nemaha County, Nebraska",12.9%,930
31129,NE,"Nuckolls County, Nebraska",12.1%,540
31131,NE,"Otoe County, Nebraska",11.6%,1830
31133,NE,"Pawnee County, Nebraska",13.3%,370
31135,NE,"Perkins County, Nebraska",10.2%,300
31137,NE,"Phelps County, Nebraska",10.7%,980
31139,NE,"Pierce County, Nebraska",10.4%,750
31141,NE,"Platte County, Nebraska",9.8%,3180
31143,NE,"Polk County, Nebraska",11.2%,600
31145,NE,"Red Willow County, Nebraska",12%,1320
31147,NE,"Richardson County, Nebraska",14.1%,1160
31149,NE,"Rock County, Nebraska",11%,160
31151,NE,"Saline County, Nebraska",10.7%,1530
31153,NE,"Sarpy County, Nebraska",10.8%,17950
31155,NE,"Saunders County, Nebraska",11%,2300
31157,NE,"Scotts Bluff County, Nebraska",10.5%,3870
31159,NE,"Seward County, Nebraska",11.5%,1940
31161,NE,"Sheridan County, Nebraska",13.8%,740
31163,NE,"Sherman County, Nebraska",12.1%,380
31165,NE,"Sioux County, Nebraska",11.8%,150
31167,NE,"Stanton County, Nebraska",10.3%,630
31169,NE,"Thayer County, Nebraska",12.3%,640
31171,NE,"Thomas County, Nebraska",12%,90
31173,NE,"Thurston County, Nebraska",18.4%,1270
31175,NE,"Valley County, Nebraska",12.9%,550
31177,NE,"Washington County, Nebraska",10.6%,2140
31179,NE,"Wayne County, Nebraska",13.3%,1260
31181,NE,"Webster County, Nebraska",12.2%,450
31183,NE,"Wheeler County, Nebraska",12.3%,100
31185,NE,"York County, Nebraska",12.2%,1680
32001,NV,"Churchill County, Nevada",15.3%,3730
32003,NV,"Clark County, Nevada",14.4%,288640
32005,NV,"Douglas County, Nevada",12.9%,6060
32007,NV,"Elko County, Nevada",9.3%,4720
32009,NV,"Esmeralda County, Nevada",14.7%,150
32011,NV,"Eureka County, Nevada",14%,250
32013,NV,"Humboldt County, Nevada",9.5%,1610
32015,NV,"Lander County, Nevada",9.2%,550
32017,NV,"Lincoln County, Nevada",15.7%,830
32019,NV,"Lyon County, Nevada",14.6%,7540
32021,NV,"Mineral County, Nevada",17.8%,820
32023,NV,"Nye County, Nevada",15.6%,6710
32027,NV,"Pershing County, Nevada",13.6%,920
32029,NV,"Storey County, Nevada",12%,470
32031,NV,"Washoe County, Nevada",13.7%,58930
32033,NV,"White Pine County, Nevada",11.9%,1190
32510,NV,"Carson City, Nevada",14.5%,7930
33001,NH,"Belknap County, New Hampshire",10%,6040
33003,NH,"Carroll County, New Hampshire",9.8%,4680
33005,NH,"Cheshire County, New Hampshire",10.9%,8360
33007,NH,"Coos County, New Hampshire",12.6%,4060
33009,NH,"Grafton County, New Hampshire",10.8%,9690
33011,NH,"Hillsborough County, New Hampshire",10.1%,40620
33013,NH,"Merrimack County, New Hampshire",9.9%,14570
33015,NH,"Rockingham County, New Hampshire",8.6%,25730
33017,NH,"Strafford County, New Hampshire",11.2%,13950
33019,NH,"Sullivan County, New Hampshire",9.7%,4190
34001,NJ,"Atlantic County, New Jersey",14.8%,40670
34003,NJ,"Bergen County, New Jersey",8.8%,81130
34005,NJ,"Burlington County, New Jersey",10.8%,48560
34007,NJ,"Camden County, New Jersey",13.5%,69120
34009,NJ,"Cape May County, New Jersey",14.2%,13680
34011,NJ,"Cumberland County, New Jersey",14.3%,22490
34013,NJ,"Essex County, New Jersey",18.6%,146750
34015,NJ,"Gloucester County, New Jersey",10.9%,31680
34017,NJ,"Hudson County, New Jersey",12.5%,81660
34019,NJ,"Hunterdon County, New Jersey",6.4%,8120
34021,NJ,"Mercer County, New Jersey",12%,44280
34023,NJ,"Middlesex County, New Jersey",9.6%,79140
34025,NJ,"Monmouth County, New Jersey",9.3%,58680
34027,NJ,"Morris County, New Jersey",6.9%,34080
34029,NJ,"Ocean County, New Jersey",10.4%,60510
34031,NJ,"Passaic County, New Jersey",11.5%,58270
34033,NJ,"Salem County, New Jersey",14.1%,9200
34035,NJ,"Somerset County, New Jersey",7.3%,23870
34037,NJ,"Sussex County, New Jersey",7.9%,11560
34039,NJ,"Union County, New Jersey",11.4%,61950
34041,NJ,"Warren County, New Jersey",10%,10760
35001,NM,"Bernalillo County, New Mexico",15.8%,105840
35003,NM,"Catron County, New Mexico",19%,690
35005,NM,"Chaves County, New Mexico",15.3%,10050
35006,NM,"Cibola County, New Mexico",19.1%,5220
35007,NM,"Colfax County, New Mexico",15.4%,2040
35009,NM,"Curry County, New Mexico",17.8%,8930
35011,NM,"De Baca County, New Mexico",14.9%,290
35013,NM,"Doña Ana County, New Mexico",15.1%,32060
35015,NM,"Eddy County, New Mexico",12.8%,7010
35017,NM,"Grant County, New Mexico",14.7%,4300
35019,NM,"Guadalupe County, New Mexico",10.7%,490
35021,NM,"Harding County, New Mexico",14.4%,90
35023,NM,"Hidalgo County, New Mexico",15.4%,730
35025,NM,"Lea County, New Mexico",12.6%,8460
35027,NM,"Lincoln County, New Mexico",16.2%,3270
35028,NM,"Los Alamos County, New Mexico",13.8%,2470
35029,NM,"Luna County, New Mexico",21.6%,5390
35031,NM,"McKinley County, New Mexico",25.3%,18480
35033,NM,"Mora County, New Mexico",12.2%,580
35035,NM,"Otero County, New Mexico",18.5%,12090
35037,NM,"Quay County, New Mexico",15.8%,1390
35039,NM,"Rio Arriba County, New Mexico",12.4%,4980
35041,NM,"Roosevelt County, New Mexico",19%,3800
35043,NM,"Sandoval County, New Mexico",15.1%,20470
35045,NM,"San Juan County, New Mexico",19.3%,24630
35047,NM,"San Miguel County, New Mexico",13.5%,3890
35049,NM,"Santa Fe County, New Mexico",13.5%,19700
35051,NM,"Sierra County, New Mexico",18.9%,2220
35053,NM,"Socorro County, New Mexico",16.5%,2900
35055,NM,"Taos County, New Mexico",16.4%,5400
35057,NM,"Torrance County, New Mexico",18.9%,3040
35059,NM,"Union County, New Mexico",15.8%,700
35061,NM,"Valencia County, New Mexico",14.2%,10890
36001,NY,"Albany County, New York",13.1%,40020
36003,NY,"Allegany County, New York",12.4%,6020
36005,NY,"Bronx County, New York",18.7%,264910
36007,NY,"Broome County, New York",13.7%,27150
36009,NY,"Cattaraugus County, New York",13.1%,10370
36011,NY,"Cayuga County, New York",11.6%,9230
36013,NY,"Chautauqua County, New York",13%,17300
36015,NY,"Chemung County, New York",13.2%,11710
36017,NY,"Chenango County, New York",11.9%,5920
36019,NY,"Clinton County, New York",12.8%,10490
36021,NY,"Columbia County, New York",10.2%,6370
36023,NY,"Cortland County, New York",12.5%,6160
36025,NY,"Delaware County, New York",11.6%,5490
36027,NY,"Dutchess County, New York",9.7%,28830
36029,NY,"Erie County, New York",13.6%,125290
36031,NY,"Essex County, New York",11.6%,4510
36033,NY,"Franklin County, New York",13.8%,7110
36035,NY,"Fulton County, New York",13.3%,7280
36037,NY,"Genesee County, New York",11.1%,6650
36039,NY,"Greene County, New York",11.8%,5730
36041,NY,"Hamilton County, New York",10.5%,500
36043,NY,"Herkimer County, New York",12.7%,8180
36045,NY,"Jefferson County, New York",14.4%,17080
36047,NY,"Kings County, New York",20%,515420
36049,NY,"Lewis County, New York",12.2%,3300
36051,NY,"Livingston County, New York",11.4%,7390
36053,NY,"Madison County, New York",11%,7990
36055,NY,"Monroe County, New York",13.4%,100270
36057,NY,"Montgomery County, New York",12.7%,6320
36059,NY,"Nassau County, New York",6.4%,85940
36061,NY,"New York County, New York",15.1%,243570
36063,NY,"Niagara County, New York",12.9%,27710
36065,NY,"Oneida County, New York",13%,30370
36067,NY,"Onondaga County, New York",13.2%,61550
36069,NY,"Ontario County, New York",10.2%,11070
36071,NY,"Orange County, New York",9.3%,34860
36073,NY,"Orleans County, New York",12.6%,5350
36075,NY,"Oswego County, New York",13.4%,16350
36077,NY,"Otsego County, New York",11.6%,7190
36079,NY,"Putnam County, New York",5.5%,5440
36081,NY,"Queens County, New York",13.1%,298250
36083,NY,"Rensselaer County, New York",11.8%,18800
36085,NY,"Richmond County, New York",10.3%,48380
36087,NY,"Rockland County, New York",9.5%,30070
36089,NY,"St. Lawrence County, New York",13.9%,15610
36091,NY,"Saratoga County, New York",9%,19990
36093,NY,"Schenectady County, New York",12%,18620
36095,NY,"Schoharie County, New York",11.1%,3580
36097,NY,"Schuyler County, New York",11.4%,2110
36099,NY,"Seneca County, New York",11.5%,4060
36101,NY,"Steuben County, New York",12.8%,12700
36103,NY,"Suffolk County, New York",6.4%,95540
36105,NY,"Sullivan County, New York",12.7%,9740
36107,NY,"Tioga County, New York",10%,5060
36109,NY,"Tompkins County, New York",13.5%,13920
36111,NY,"Ulster County, New York",10.8%,19630
36113,NY,"Warren County, New York",11.5%,7530
36115,NY,"Washington County, New York",11.4%,7170
36117,NY,"Wayne County, New York",10.7%,9920
36119,NY,"Westchester County, New York",8.8%,84970
36121,NY,"Wyoming County, New York",11.2%,4660
36123,NY,"Yates County, New York",11.1%,2800
37001,NC,"Alamance County, North Carolina",15.7%,24200
37003,NC,"Alexander County, North Carolina",13.7%,5100
37005,NC,"Alleghany County, North Carolina",14.1%,1550
37007,NC,"Anson County, North Carolina",22.2%,5840
37009,NC,"Ashe County, North Carolina",14.5%,3940
37011,NC,"Avery County, North Carolina",14.4%,2560
37013,NC,"Beaufort County, North Carolina",17.9%,8540
37015,NC,"Bertie County, North Carolina",24.4%,5050
37017,NC,"Bladen County, North Carolina",22%,7680
37019,NC,"Brunswick County, North Carolina",15.3%,17270
37021,NC,"Buncombe County, North Carolina",14.3%,34990
37023,NC,"Burke County, North Carolina",15.4%,13860
37025,NC,"Cabarrus County, North Carolina",13.6%,25220
37027,NC,"Caldwell County, North Carolina",15.9%,13030
37029,NC,"Camden County, North Carolina",11.9%,1210
37031,NC,"Carteret County, North Carolina",14.4%,9760
37033,NC,"Caswell County, North Carolina",19.2%,4490
37035,NC,"Catawba County, North Carolina",14.2%,21930
37037,NC,"Chatham County, North Carolina",11.8%,7780
37039,NC,"Cherokee County, North Carolina",14.3%,3890
37041,NC,"Chowan County, North Carolina",21.4%,3150
37043,NC,"Clay County, North Carolina",14.9%,1580
37045,NC,"Cleveland County, North Carolina",18.2%,17730
37047,NC,"Columbus County, North Carolina",20.5%,11780
37049,NC,"Craven County, North Carolina",17.2%,18030
37051,NC,"Cumberland County, North Carolina",20.4%,66220
37053,NC,"Currituck County, North Carolina",12.1%,2930
37055,NC,"Dare County, North Carolina",13.5%,4650
37057,NC,"Davidson County, North Carolina",14.4%,23630
37059,NC,"Davie County, North Carolina",12.6%,5200
37061,NC,"Duplin County, North Carolina",17%,10090
37063,NC,"Durham County, North Carolina",18.3%,51580
37065,NC,"Edgecombe County, North Carolina",25.7%,14330
37067,NC,"Forsyth County, North Carolina",16.9%,60550
37069,NC,"Franklin County, North Carolina",16.1%,9920
37071,NC,"Gaston County, North Carolina",16.4%,34260
37073,NC,"Gates County, North Carolina",16.9%,2010
37075,NC,"Graham County, North Carolina",17.5%,1530
37077,NC,"Granville County, North Carolina",16.3%,9420
37079,NC,"Greene County, North Carolina",18.4%,3930
37081,NC,"Guilford County, North Carolina",19%,95080
37083,NC,"Halifax County, North Carolina",25.2%,13580
37085,NC,"Harnett County, North Carolina",16.8%,20500
37087,NC,"Haywood County, North Carolina",13.5%,7950
37089,NC,"Henderson County, North Carolina",12.1%,13100
37091,NC,"Hertford County, North Carolina",24.7%,6050
37093,NC,"Hoke County, North Carolina",19.3%,9670
37095,NC,"Hyde County, North Carolina",19.7%,1130
37097,NC,"Iredell County, North Carolina",13.9%,22680
37099,NC,"Jackson County, North Carolina",16%,6480
37101,NC,"Johnston County, North Carolina",13.8%,24220
37103,NC,"Jones County, North Carolina",18.5%,1890
37105,NC,"Lee County, North Carolina",15.7%,9310
37107,NC,"Lenoir County, North Carolina",21.6%,12760
37109,NC,"Lincoln County, North Carolina",13%,10250
37111,NC,"McDowell County, North Carolina",15.2%,6840
37113,NC,"Macon County, North Carolina",14.4%,4890
37115,NC,"Madison County, North Carolina",14.4%,3010
37117,NC,"Martin County, North Carolina",21.4%,5120
37119,NC,"Mecklenburg County, North Carolina",17.1%,165170
37121,NC,"Mitchell County, North Carolina",14.6%,2250
37123,NC,"Montgomery County, North Carolina",16.7%,4610
37125,NC,"Moore County, North Carolina",14.4%,13050
37127,NC,"Nash County, North Carolina",20.1%,19150
37129,NC,"New Hanover County, North Carolina",16.8%,35210
37131,NC,"Northampton County, North Carolina",24.3%,5180
37133,NC,"Onslow County, North Carolina",16.2%,29660
37135,NC,"Orange County, North Carolina",14.6%,19990
37137,NC,"Pamlico County, North Carolina",15.1%,1970
37139,NC,"Pasquotank County, North Carolina",20.7%,8320
37141,NC,"Pender County, North Carolina",15.6%,8460
37143,NC,"Perquimans County, North Carolina",17.7%,2400
37145,NC,"Person County, North Carolina",18.4%,7230
37147,NC,"Pitt County, North Carolina",21.1%,36380
37149,NC,"Polk County, North Carolina",12.6%,2560
37151,NC,"Randolph County, North Carolina",13.7%,19440
37153,NC,"Richmond County, North Carolina",21%,9730
37155,NC,"Robeson County, North Carolina",21.7%,29340
37157,NC,"Rockingham County, North Carolina",17.3%,15990
37159,NC,"Rowan County, North Carolina",16.4%,22740
37161,NC,"Rutherford County, North Carolina",17.3%,11610
37163,NC,"Sampson County, North Carolina",17%,10820
37165,NC,"Scotland County, North Carolina",25.5%,9180
37167,NC,"Stanly County, North Carolina",15.1%,9170
37169,NC,"Stokes County, North Carolina",13.7%,6400
37171,NC,"Surry County, North Carolina",14.2%,10400
37173,NC,"Swain County, North Carolina",17.9%,2520
37175,NC,"Transylvania County, North Carolina",13.3%,4370
37177,NC,"Tyrrell County, North Carolina",19.5%,820
37179,NC,"Union County, North Carolina",10.8%,22570
37181,NC,"Vance County, North Carolina",23.8%,10700
37183,NC,"Wake County, North Carolina",13.8%,131800
37185,NC,"Warren County, North Carolina",23.4%,4830
37187,NC,"Washington County, North Carolina",23.6%,3030
37189,NC,"Watauga County, North Carolina",18%,9320
37191,NC,"Wayne County, North Carolina",19.1%,23740
37193,NC,"Wilkes County, North Carolina",15.8%,10920
37195,NC,"Wilson County, North Carolina",22%,17960
37197,NC,"Yadkin County, North Carolina",13%,4960
37199,NC,"Yancey County, North Carolina",14.6%,2580
38001,ND,"Adams County, North Dakota",7%,160
38003,ND,"Barnes County, North Dakota",7%,780
38005,ND,"Benson County, North Dakota",14.5%,980
38007,ND,"Billings County, North Dakota",6.7%,60
38009,ND,"Bottineau County, North Dakota",7.2%,470
38011,ND,"Bowman County, North Dakota",5.1%,160
38013,ND,"Burke County, North Dakota",7.6%,160
38015,ND,"Burleigh County, North Dakota",6.3%,5400
38017,ND,"Cass County, North Dakota",9.6%,15150
38019,ND,"Cavalier County, North Dakota",4.5%,180
38021,ND,"Dickey County, North Dakota",6.5%,340
38023,ND,"Divide County, North Dakota",4.7%,110
38025,ND,"Dunn County, North Dakota",4.6%,180
38027,ND,"Eddy County, North Dakota",9.2%,220
38029,ND,"Emmons County, North Dakota",8.8%,310
38031,ND,"Foster County, North Dakota",7%,230
38033,ND,"Golden Valley County, North Dakota",7%,130
38035,ND,"Grand Forks County, North Dakota",10.8%,7380
38037,ND,"Grant County, North Dakota",7.7%,180
38039,ND,"Griggs County, North Dakota",6.1%,140
38041,ND,"Hettinger County, North Dakota",5.7%,150
38043,ND,"Kidder County, North Dakota",6%,150
38045,ND,"LaMoure County, North Dakota",6%,250
38047,ND,"Logan County, North Dakota",5.9%,120
38049,ND,"McHenry County, North Dakota",7.5%,430
38051,ND,"McIntosh County, North Dakota",7.3%,200
38053,ND,"McKenzie County, North Dakota",6.4%,540
38055,ND,"McLean County, North Dakota",7.3%,680
38057,ND,"Mercer County, North Dakota",5.7%,490
38059,ND,"Morton County, North Dakota",6.3%,1790
38061,ND,"Mountrail County, North Dakota",5.9%,520
38063,ND,"Nelson County, North Dakota",6.6%,200
38065,ND,"Oliver County, North Dakota",6.6%,120
38067,ND,"Pembina County, North Dakota",7.3%,530
38069,ND,"Pierce County, North Dakota",8.3%,360
38071,ND,"Ramsey County, North Dakota",8.9%,1030
38073,ND,"Ransom County, North Dakota",7.1%,390
38075,ND,"Renville County, North Dakota",5.9%,150
38077,ND,"Richland County, North Dakota",7%,1140
38079,ND,"Rolette County, North Dakota",17.2%,2470
38081,ND,"Sargent County, North Dakota",5.3%,210
38083,ND,"Sheridan County, North Dakota",7.4%,100
38085,ND,"Sioux County, North Dakota",15.8%,680
38087,ND,"Slope County, North Dakota",4.7%,30
38089,ND,"Stark County, North Dakota",5.2%,1410
38091,ND,"Steele County, North Dakota",6%,120
38093,ND,"Stutsman County, North Dakota",7.9%,1650
38095,ND,"Towner County, North Dakota",7.2%,160
38097,ND,"Traill County, North Dakota",6.7%,540
38099,ND,"Walsh County, North Dakota",6.6%,730
38101,ND,"Ward County, North Dakota",7.7%,5040
38103,ND,"Wells County, North Dakota",7.5%,320
38105,ND,"Williams County, North Dakota",5%,1350
39001,OH,"Adams County, Ohio",18.1%,5140
39003,OH,"Allen County, Ohio",16.5%,17470
39005,OH,"Ashland County, Ohio",14.2%,7550
39007,OH,"Ashtabula County, Ohio",15.7%,15750
39009,OH,"Athens County, Ohio",19.8%,12810
39011,OH,"Auglaize County, Ohio",11.8%,5410
39013,OH,"Belmont County, Ohio",14.8%,10300
39015,OH,"Brown County, Ohio",14.3%,6370
39017,OH,"Butler County, Ohio",14%,52060
39019,OH,"Carroll County, Ohio",13.7%,3920
39021,OH,"Champaign County, Ohio",13.2%,5220
39023,OH,"Clark County, Ohio",16.3%,22410
39025,OH,"Clermont County, Ohio",12.3%,24590
39027,OH,"Clinton County, Ohio",16.3%,6840
39029,OH,"Columbiana County, Ohio",15%,15960
39031,OH,"Coshocton County, Ohio",15.5%,5700
39033,OH,"Crawford County, Ohio",15.1%,6510
39035,OH,"Cuyahoga County, Ohio",19.4%,245660
39037,OH,"Darke County, Ohio",13.7%,7190
39039,OH,"Defiance County, Ohio",12.3%,4750
39041,OH,"Delaware County, Ohio",9%,16440
39043,OH,"Erie County, Ohio",15%,11450
39045,OH,"Fairfield County, Ohio",13.2%,19510
39047,OH,"Fayette County, Ohio",16.1%,4660
39049,OH,"Franklin County, Ohio",17.9%,214500
39051,OH,"Fulton County, Ohio",11.6%,4920
39053,OH,"Gallia County, Ohio",16.1%,4950
39055,OH,"Geauga County, Ohio",10.3%,9680
39057,OH,"Greene County, Ohio",14.5%,23650
39059,OH,"Guernsey County, Ohio",15.4%,6140
39061,OH,"Hamilton County, Ohio",18.6%,149740
39063,OH,"Hancock County, Ohio",12.9%,9730
39065,OH,"Hardin County, Ohio",15.1%,4800
39067,OH,"Harrison County, Ohio",14.5%,2280
39069,OH,"Henry County, Ohio",12.1%,3390
39071,OH,"Highland County, Ohio",16.5%,7130
39073,OH,"Hocking County, Ohio",14.6%,4250
39075,OH,"Holmes County, Ohio",12.4%,5360
39077,OH,"Huron County, Ohio",14.2%,8410
39079,OH,"Jackson County, Ohio",17.7%,5840
39081,OH,"Jefferson County, Ohio",16.7%,11410
39083,OH,"Knox County, Ohio",14%,8520
39085,OH,"Lake County, Ohio",12.4%,28410
39087,OH,"Lawrence County, Ohio",15.1%,9350
39089,OH,"Licking County, Ohio",13.3%,22330
39091,OH,"Logan County, Ohio",13.9%,6330
39093,OH,"Lorain County, Ohio",14.3%,43130
39095,OH,"Lucas County, Ohio",18.3%,80260
39097,OH,"Madison County, Ohio",13.5%,5850
39099,OH,"Mahoning County, Ohio",16.9%,39790
39101,OH,"Marion County, Ohio",15.9%,10520
39103,OH,"Medina County, Ohio",11.1%,19280
39105,OH,"Meigs County, Ohio",16.9%,3970
39107,OH,"Mercer County, Ohio",11.1%,4530
39109,OH,"Miami County, Ohio",13.7%,14090
39111,OH,"Monroe County, Ohio",17.1%,2490
39113,OH,"Montgomery County, Ohio",18.4%,98470
39115,OH,"Morgan County, Ohio",16.2%,2420
39117,OH,"Morrow County, Ohio",12.6%,4410
39119,OH,"Muskingum County, Ohio",16.7%,14360
39121,OH,"Noble County, Ohio",14.8%,2160
39123,OH,"Ottawa County, Ohio",12.6%,5210
39125,OH,"Paulding County, Ohio",12.8%,2470
39127,OH,"Perry County, Ohio",15.5%,5590
39129,OH,"Pickaway County, Ohio",13.5%,7620
39131,OH,"Pike County, Ohio",17.9%,5100
39133,OH,"Portage County, Ohio",14.8%,23930
39135,OH,"Preble County, Ohio",13.1%,5510
39137,OH,"Putnam County, Ohio",9.6%,3300
39139,OH,"Richland County, Ohio",16.2%,19920
39141,OH,"Ross County, Ohio",16.1%,12480
39143,OH,"Sandusky County, Ohio",12.9%,7820
39145,OH,"Scioto County, Ohio",18.2%,14280
39147,OH,"Seneca County, Ohio",14.2%,7950
39149,OH,"Shelby County, Ohio",13%,6380
39151,OH,"Stark County, Ohio",15.2%,57080
39153,OH,"Summit County, Ohio",16.2%,87480
39155,OH,"Trumbull County, Ohio",16.3%,33820
39157,OH,"Tuscarawas County, Ohio",13.7%,12690
39159,OH,"Union County, Ohio",11.2%,5920
39161,OH,"Van Wert County, Ohio",12.7%,3620
39163,OH,"Vinton County, Ohio",16.6%,2220
39165,OH,"Warren County, Ohio",10.7%,23290
39167,OH,"Washington County, Ohio",14.5%,8880
39169,OH,"Wayne County, Ohio",13%,14990
39171,OH,"Williams County, Ohio",13.3%,4990
39173,OH,"Wood County, Ohio",13.7%,17610
39175,OH,"Wyandot County, Ohio",12.5%,2810
40001,OK,"Adair County, Oklahoma",19.2%,4300
40003,OK,"Alfalfa County, Oklahoma",13.7%,780
40005,OK,"Atoka County, Oklahoma",17.8%,2480
40007,OK,"Beaver County, Oklahoma",10%,560
40009,OK,"Beckham County, Oklahoma",14.1%,3240
40011,OK,"Blaine County, Oklahoma",14.6%,1440
40013,OK,"Bryan County, Oklahoma",17%,7400
40015,OK,"Caddo County, Oklahoma",16.2%,4790
