fips,unemployment_rate_2019,med_household_inc_19,med_hh_income_percent_of_state_total_2019
13147,3.5,"50,647",81.8
13149,3.3,"48,984",79.1
13151,3.5,"72,927",117.7
13153,3.3,"65,641",106
13155,4.7,"42,317",68.3
13157,2.7,"66,645",107.6
13159,3.1,"59,207",95.6
13161,4.6,"40,603",65.5
13163,4.7,"35,379",57.1
13165,5.1,"32,808",53
13167,3.6,"37,771",61
13169,3.2,"56,819",91.7
13171,3.9,"57,402",92.7
13173,3.9,"42,667",68.9
13175,4.6,"42,018",67.8
13177,3.1,"72,425",116.9
13179,3.7,"51,410",83
13181,3.9,"45,299",73.1
13183,3.6,"52,051",84
13185,3.5,"46,450",75
13187,3.1,"57,078",92.1
13189,5.1,"44,473",71.8
13191,3.6,"46,682",75.4
13193,4.6,"34,634",55.9
13195,3,"52,326",84.5
13197,4.2,"41,190",66.5
13199,4.5,"43,571",70.3
13201,3.3,"41,769",67.4
13205,4.6,"37,383",60.3
13207,3.2,"70,488",113.8
13209,5.3,"43,657",70.5
13211,3.1,"67,089",108.3
13213,5,"50,061",80.8
13215,4.5,"47,035",75.9
13217,3.9,"58,222",94
13219,2.5,"100,878",162.8
13221,3.2,"54,346",87.7
13223,2.9,"76,580",123.6
13225,4.1,"49,815",80.4
13227,3,"66,183",106.8
13229,3.4,"46,701",75.4
13231,3,"74,905",120.9
13233,3.6,"47,896",77.3
13235,3.8,"42,274",68.2
13237,4.3,"62,282",100.5
13239,5,"35,522",57.3
13241,3.5,"46,639",75.3
13243,4.8,"33,505",54.1
13245,4.5,"44,810",72.3
13247,3.8,"60,281",97.3
13249,3.9,"51,129",82.5
13251,5.4,"42,331",68.3
13253,4.4,"38,618",62.3
13255,4,"49,237",79.5
13257,3.9,"45,416",73.3
13259,4.2,"34,566",55.8
13261,4.8,"40,250",65
13263,4.5,"41,045",66.3
13265,4.9,"37,046",59.8
13267,3.8,"41,457",66.9
13269,4,"28,234",45.6
13271,9.5,"36,264",58.5
13273,5,"37,122",59.9
13275,4,"47,978",77.4
13277,3.4,"47,764",77.1
13279,4.9,"41,442",66.9
13281,4.8,"49,023",79.1
13283,5.3,"37,478",60.5
13285,3.2,"47,296",76.3
13287,3.8,"35,400",57.1
13289,5.4,"44,079",71.2
13291,3.1,"57,049",92.1
13293,3.6,"40,926",66.1
13295,3.6,"47,548",76.8
13297,3.1,"67,007",108.2
13299,3.7,"37,642",60.8
13301,4.5,"37,313",60.2
13303,4.1,"41,674",67.3
13305,4,"47,382",76.5
13307,5,"41,547",67.1
13309,7.5,"35,927",58
13311,2.6,"54,786",88.4
13313,4.4,"53,115",85.7
13315,4.5,"38,261",61.8
13317,4.5,"39,716",64.1
13319,3.8,"43,902",70.9
13321,3.9,"43,142",69.6
15000,2.7,"83,734",100
15001,3.4,"64,929",77.5
15003,2.6,"86,946",103.8
15007,2.7,"73,029",87.2
15009,2.6,"77,375",92.4
16000,2.9,"60,830",100
16001,2.5,"72,295",118.8
16003,6.8,"50,042",82.3
16005,2.8,"53,306",87.6
16007,2.9,"54,550",89.7
16009,5.2,"49,303",81.1
16011,2.7,"59,959",98.6
16013,2.6,"75,778",124.6
16015,4.3,"64,443",105.9
16017,4.2,"56,729",93.3
16019,2.4,"65,165",107.1
16021,4.4,"50,709",83.4
16023,2.6,"51,742",85.1
16025,2.7,"56,014",92.1
16027,3.2,"58,670",96.4
16029,2.7,"61,518",101.1
16031,2.4,"53,284",87.6
