fips,fi_rate_18,ch_fi_rate_18,cpm_18
13265,19.3%,31%,US$3.38
13267,15.7%,21.7%,US$3.01
13269,18.2%,24.3%,US$3.06
13271,17.6%,28.4%,US$2.93
13273,20.1%,30.9%,US$3.08
13275,15.8%,21.8%,US$3.37
13277,15.7%,21.8%,US$3.12
13279,16.7%,22.5%,US$3.00
13281,13.6%,23%,US$3.02
13283,17%,25.3%,US$2.98
13285,15.4%,19.6%,US$2.85
13287,19.9%,30.2%,US$2.99
13289,18.4%,23.1%,US$3.00
13291,12.1%,20.5%,US$3.13
13293,15.5%,21.2%,US$2.87
13295,14.1%,20.5%,US$3.12
13297,11%,15.5%,US$3.17
13299,16.2%,23.7%,US$2.86
13301,17.1%,24.2%,US$2.92
13303,18.1%,25.5%,US$2.89
13305,14.9%,20.1%,US$2.87
13307,16.8%,25.4%,US$3.07
13309,18.4%,25.3%,US$2.97
13311,11.7%,16.9%,US$3.02
13313,11.7%,15.4%,US$2.88
13315,15.4%,21.5%,US$3.00
13317,16.8%,26.1%,US$3.36
13319,16.1%,23.1%,US$2.96
13321,15.5%,23.9%,US$2.81
15001,12.9%,21.9%,US$3.63
15003,10.4%,16.3%,US$3.55
15005,18.6%,23.8%,US$3.60
15007,9.7%,15.4%,US$3.58
15009,10.4%,16.9%,US$3.87
16001,9.1%,9.3%,US$3.49
16003,13.3%,18.2%,US$3.26
16005,12.2%,14.3%,US$3.14
16007,11.6%,15.8%,US$2.99
16009,14.3%,18.6%,US$3.37
16011,10%,11.9%,US$2.92
16013,9.4%,12.5%,US$4.91
16015,11.2%,18.5%,US$3.31
16017,12.6%,16.3%,US$3.42
16019,10.1%,11.6%,US$2.98
16021,12.9%,17.3%,US$3.48
16023,12%,15.2%,US$3.05
16025,14.1%,21.5%,US$3.13
16027,10.9%,12.1%,US$3.01
16029,9%,10.1%,US$3.03
16031,9.8%,11.1%,US$3.18
16033,9.2%,9.9%,US$3.14
16035,14.6%,19.5%,US$3.36
16037,15.6%,20%,US$3.78
16039,11.9%,13.6%,US$3.14
16041,9.5%,12.6%,US$3.08
16043,9.6%,11.6%,US$3.26
16045,13.9%,18.1%,US$3.30
16047,10.5%,12.9%,US$3.07
16049,14.1%,17.3%,US$3.42
16051,7.6%,9.2%,US$3.21
16053,10.6%,12.2%,US$2.85
16055,10.9%,14%,US$3.37
16057,11.7%,12.6%,US$3.21
16059,12.7%,17.7%,US$3.99
16061,15%,19.5%,US$3.01
16063,10.4%,13.2%,US$3.09
16065,11.4%,11.9%,US$2.97
16067,11.3%,14.3%,US$2.76
16069,12%,15.3%,US$3.00
16071,10.8%,13.9%,US$3.06
16073,13.4%,17.4%,US$3.28
16075,11.7%,13.7%,US$4.02
16077,9.6%,10.2%,US$3.04
16079,16.5%,22.5%,US$3.35
16081,6.4%,6.2%,US$3.13
16083,11%,12.5%,US$3.08
16085,11.6%,11.7%,US$3.32
16087,13.4%,18.1%,US$3.03
17001,10.2%,14.2%,US$2.85
17003,19.5%,32.4%,US$2.83
17005,10.3%,15.8%,US$2.89
17007,8.7%,12.9%,US$2.77
17009,8.6%,11.7%,US$2.80
17011,10.1%,16.5%,US$3.05
17013,11.3%,17.4%,US$3.08
17015,9.9%,13.8%,US$2.79
17017,9.7%,12.8%,US$2.93
17019,11%,12.8%,US$3.08
17021,10.6%,15.4%,US$2.64
17023,11.4%,17.7%,US$2.71
17025,12.9%,19.3%,US$2.76
17027,8.7%,11.9%,US$2.69
17029,13.2%,18.6%,US$2.63
17031,10.1%,11.9%,US$3.19
17033,10.8%,15.1%,US$2.76
17035,10.8%,15.6%,US$2.73
17037,10.2%,12.6%,US$3.21
17039,9.6%,15%,US$2.97
17041,9.2%,12.9%,US$2.91
17043,5.9%,6.5%,US$3.40
17045,10.8%,15.9%,US$2.86
17047,9.9%,14.7%,US$2.80
17049,9.2%,13.9%,US$2.79
17051,13.1%,20.6%,US$2.59
17053,12.3%,19.3%,US$2.98
17055,14.8%,22.1%,US$2.95
17057,12.5%,19.2%,US$2.67
17059,14.9%,24.7%,US$2.68
17061,11.7%,17%,US$2.80
17063,8%,10.4%,US$3.12
