,Year,State,fi
502,1/1/2011,Wyoming,12.13478261
503,1/1/2012,Wyoming,11.9896226
504,1/1/2013,Wyoming,13.004587
505,1/1/2014,Wyoming,12.78108256
506,1/1/2015,Wyoming,12.43043478
507,1/1/2016,Wyoming,12.03478261
508,1/1/2017,Wyoming,12.43478261
509,1/1/2018,Wyoming,11.78695652
510,1/1/2019,Wyoming,12.25652174
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
