,Year,State,Prophet ForecastValue Future,Prophet ForecastValue Validation,fi
116,2012-01-01,Connecticut,13.007811027731009,12.936655365357693,
117,2013-01-01,Connecticut,12.479321727624884,12.510978132109269,
118,2014-01-01,Connecticut,12.153803311683651,12.281286844633748,
119,2015-01-01,Connecticut,11.94324537936202,12.120226010131042,
120,2016-01-01,Connecticut,11.847700990709086,12.027720264533881,
121,2017-01-01,Connecticut,11.319063852648718,11.60204301248648,
122,2017-12-31,Connecticut,0.0,12.047449794985006,
123,2018-01-01,Connecticut,10.99339802554549,0.0,
124,2018-12-31,Connecticut,0.0,12.158912727632112,
125,2019-01-01,Connecticut,10.782840081324016,0.0,
126,2019-12-31,Connecticut,12.606581464781877,12.337387334296569,
127,2020-12-31,Connecticut,10.706464690152455,11.0946344842652,
128,2021-12-31,Connecticut,10.839841630839178,11.138514657395682,
129,2022-12-31,Connecticut,11.086716544658646,11.249977590041619,
130,2023-12-31,Connecticut,11.446176155303991,11.42845219670791,
131,2024-12-31,Connecticut,9.546059380667593,0.0,
132,2025-12-31,Connecticut,9.679436321353403,0.0,
133,2010-01-01,District of Columbia,16.641257984317072,16.547063483323818,
134,2011-01-01,District of Columbia,16.120320944684508,16.090872464372996,
135,2012-01-01,District of Columbia,15.531075610586178,15.486777372148865,
136,2013-01-01,District of Columbia,14.507715545593843,14.455330532589375,
137,2014-01-01,District of Columbia,14.054899296985761,14.146097024189048,
138,2015-01-01,District of Columbia,13.53242867102356,13.68845068988708,
139,2016-01-01,District of Columbia,12.94154309985214,13.082900343474453,
140,2017-01-01,District of Columbia,11.916537790360898,12.050064614557408,
141,2017-12-31,District of Columbia,0.0,11.428637014319342,
142,2018-01-01,District of Columbia,11.462115078441961,0.0,
143,2018-12-31,District of Columbia,0.0,10.380828247477776,
144,2019-01-01,District of Columbia,10.939537594582893,0.0,
145,2019-12-31,District of Columbia,9.89579764809756,9.186922288079597,
146,2020-12-31,District of Columbia,9.689416425061426,9.923567858102476,
147,2021-12-31,District of Columbia,8.961904672993878,9.02268455011473,
148,2022-12-31,District of Columbia,8.166301901588364,7.974875783274541,
149,2023-12-31,District of Columbia,7.302906369439878,6.780969823873379,
150,2024-12-31,District of Columbia,7.096525146406142,0.0,
151,2025-12-31,District of Columbia,6.369013394339188,0.0,
152,2010-01-01,Delaware,12.893342665215247,12.879629634719679,
153,2011-01-01,Delaware,12.672898919841124,12.669023664886549,
154,2012-01-01,Delaware,12.554248983330247,12.529492773359147,
155,2013-01-01,Delaware,12.559155169678561,12.555767968614692,
156,2014-01-01,Delaware,12.23685372772098,12.273831244925702,
157,2015-01-01,Delaware,12.016007119044843,12.062338961451214,
158,2016-01-01,Delaware,11.896951732370294,11.921921756720007,
159,2017-01-01,Delaware,11.901451702556777,11.947308214126277,
160,2017-12-31,Delaware,0.0,11.854044649052131,
161,2018-01-01,Delaware,11.578901824328813,0.0,
162,2018-12-31,Delaware,0.0,11.926129086661934,
163,2019-01-01,Delaware,11.358052625337407,0.0,
164,2019-12-31,Delaware,12.434148117221351,12.068378069056783,
165,2020-12-31,Delaware,11.221646268000338,11.243548545449443,
166,2021-12-31,Delaware,11.30572796550155,11.24504835009569,
167,2022-12-31,Delaware,11.4907886752664,11.317132787704844,
168,2023-12-31,Delaware,11.776193618232679,11.459381770101249,
169,2024-12-31,Delaware,10.563691769006667,0.0,
170,2025-12-31,Delaware,10.647773466507012,0.0,
171,2010-01-01,Florida,17.605970149254354,17.60597014925313,
172,2011-01-01,Florida,17.788059701486443,17.788059701503933,
173,2012-01-01,Florida,18.67454890036825,18.67454890041246,
174,2013-01-01,Florida,17.85017658538255,17.85017658539155,
175,2014-01-01,Florida,16.956854393692186,16.956854393685624,
176,2015-01-01,Florida,16.491044776121782,16.491044776156038,
177,2016-01-01,Florida,16.226865671630264,16.22686567166631,
178,2017-01-01,Florida,15.507462686569564,15.507462686545551,
179,2017-12-31,Florida,0.0,16.581793044876854,
180,2018-01-01,Florida,14.641791044777023,0.0,
181,2018-12-31,Florida,0.0,17.197328675670093,
182,2019-01-01,Florida,13.944776119406864,0.0,
183,2019-12-31,Florida,15.887985133999688,18.101456623499352,
184,2020-12-31,Florida,13.054025330983524,13.858325346298855,
185,2021-12-31,Florida,12.85821928968122,14.182516106552626,
186,2022-12-31,Florida,12.826937047307469,14.79805173734983,
187,2023-12-31,Florida,12.95843639243598,15.70217968518643,
188,2024-12-31,Florida,10.124476589419697,0.0,
189,2025-12-31,Florida,9.928670548044733,0.0,
190,2010-01-01,Georgia,19.825303468967366,19.949798011931268,
191,2011-01-01,Georgia,19.73691055595271,19.70085656982981,
192,2012-01-01,Georgia,19.696686878116797,19.5969043531356,
193,2013-01-01,Georgia,19.05936617689478,18.992364631454098,
194,2014-01-01,Georgia,18.56019635585269,18.526536041859313,
195,2015-01-01,Georgia,17.873667795498193,17.871844007165375,
196,2016-01-01,Georgia,17.234897337481424,17.36213092770612,
197,2017-01-01,Georgia,16.360071053277686,16.352988297431096,
198,2017-12-31,Georgia,0.0,16.776109573399708,
199,2018-01-01,Georgia,15.62511388323077,0.0,
200,2018-12-31,Georgia,0.0,16.69837052126737,
201,2019-01-01,Georgia,14.938174190209196,0.0,
202,2019-12-31,Georgia,15.161337103819061,16.762761471167096,
203,2020-12-31,Georgia,13.708862774140549,14.023766763684218,
204,2021-12-31,Georgia,13.16651985890638,13.802794952580236,
205,2022-12-31,Georgia,12.672251745373837,13.725055900445627,
206,2023-12-31,Georgia,12.225843498692388,13.789446850349005,
207,2024-12-31,Georgia,10.773369169013023,0.0,
208,2025-12-31,Georgia,10.231026253778882,0.0,
209,2010-01-01,Hawaii,14.715748671033225,14.560411802113588,
210,2011-01-01,Hawaii,14.378233561713259,14.299620797288584,
211,2012-01-01,Hawaii,14.189687917693574,14.071349647114364,
212,2013-01-01,Hawaii,13.468060405606968,13.475461027959701,
213,2014-01-01,Hawaii,12.980996502704482,13.180785777122024,
214,2015-01-01,Hawaii,12.642894990500931,12.918695895229808,
215,2016-01-01,Hawaii,12.453743707309998,12.689125865934555,
216,2017-01-01,Hawaii,11.731532385470167,12.091943038478815,
217,2017-12-31,Hawaii,0.0,12.32686072679143,
218,2018-01-01,Hawaii,11.244317045952869,0.0,
219,2018-12-31,Hawaii,0.0,12.193668756375551,
220,2019-01-01,Hawaii,10.906196294559653,0.0,
221,2019-12-31,Hawaii,13.175050088354299,12.092003712366733,
222,2020-12-31,Hawaii,10.676472429525944,11.108374056667063,
223,2021-12-31,Hawaii,10.783822805530319,10.943314765170946,
224,2022-12-31,Hawaii,11.038176472356483,10.810122794754296,
225,2023-12-31,Hawaii,11.43835138904073,10.708457750746513,
226,2024-12-31,Hawaii,8.939773730203367,0.0,
227,2025-12-31,Hawaii,9.047124106206551,0.0,
228,2010-01-01,Idaho,17.171143144880457,17.042991110366618,
229,2011-01-01,Idaho,16.70083869731343,16.66928121358115,
230,2012-01-01,Idaho,16.469458299621973,16.427712767781923,
231,2013-01-01,Idaho,15.539837978652637,15.44787065907965,
232,2014-01-01,Idaho,14.829631342086628,14.941299510393314,
233,2015-01-01,Idaho,14.358460321202475,14.56663005581374,
234,2016-01-01,Idaho,14.12534785367655,14.324101815558071,
235,2017-01-01,Idaho,13.194739045850072,13.343374399538611,
236,2017-12-31,Idaho,0.0,14.233538864646427,
237,2018-01-01,Idaho,12.483647326154653,0.0,
238,2018-12-31,Idaho,0.0,14.3839488964258,
239,2019-01-01,Idaho,12.011610805764152,0.0,
240,2019-12-31,Idaho,15.56471116751868,14.663392279956412,
241,2020-12-31,Idaho,11.783755092777517,12.108368935372138,
242,2021-12-31,Idaho,12.026403514833959,12.128616400807816,
243,2022-12-31,Idaho,12.505044879022229,12.279026432584777,
244,2023-12-31,Idaho,13.2178616458861,12.558469816118988,
